Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
 25.12     12.12    12.12                             WSDijkstraAlgorithm::compute(int const&, int const&, Topology*)
  6.47     15.24     3.12                             bool __gnu_cxx::operator==<int const*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > const&)
  6.39     18.33     3.09                             std::vector<int, std::allocator<int> >::begin() const
  5.03     20.75     2.43                             std::vector<int, std::allocator<int> >::empty() const
  4.67     23.01     2.26                             std::vector<int, std::allocator<int> >::end() const
  4.64     25.25     2.24                             __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&)
  2.98     26.69     1.44                             Link::getReservableCapacity() const
  2.59     27.94     1.25                             LinkListIterator::operator()()
  2.31     29.05     1.12                             void std::vector<int, std::allocator<int> >::_M_emplace_back_aux<int const&>(int const&)
  1.56     29.81     0.76                             std::vector<int, std::allocator<int> >::push_back(int const&)
  1.55     30.56     0.75                             __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::base() const
  1.49     31.28     0.72                             std::_Rb_tree<int, std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*>, std::_Select1st<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> >, std::less<int>, std::allocator<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> > >::_M_lower_bound(std::_Rb_tree_node<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> > const*, std::_Rb_tree_node<std::pair<int const, std::map<int, Link*, std::less<int>, std::allocator<std::pair<int const, Link*> > >*> > const*, int const&) const
  1.37     31.94     0.66                             LinkListIterator::operator*() const
  1.29     32.56     0.62                             RandomNumberGenerator::psdes(unsigned long&, unsigned long&)
  1.20     33.14     0.58                             std::_Rb_tree<int, std::pair<int const, Link*>, std::_Select1st<std::pair<int const, Link*> >, std::less<int>, std::allocator<std::pair<int const, Link*> > >::begin()
  0.97     33.61     0.47                             std::less<int>::operator()(int const&, int const&) const
  0.93     34.06     0.45                             AbstractShortestPathAlgorithm::compute(Flow const&)
  0.93     34.51     0.45                             std::vector<int, std::allocator<int> >::size() const
  0.92     34.95     0.45                             void __gnu_cxx::new_allocator<int>::construct<int, int const&>(int*, int const&)
  0.89     35.38     0.43                             int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
